date;jour;mois
08/06/2016;-0,337;
07/06/2016;-0,333;
06/06/2016;-0,331;
03/06/2016;-0,338;
02/06/2016;-0,33;
01/06/2016;-0,333;
31/05/2016;-0,324;-0,338
30/05/2016;-0,345;
27/05/2016;-0,346;
26/05/2016;-0,356;
25/05/2016;-0,342;
24/05/2016;-0,34;
23/05/2016;-0,338;
20/05/2016;-0,335;
19/05/2016;-0,34;
18/05/2016;-0,337;
17/05/2016;-0,334;
16/05/2016;-0,347;
13/05/2016;-0,341;
12/05/2016;-0,342;
11/05/2016;-0,335;
10/05/2016;-0,333;
09/05/2016;-0,326;
06/05/2016;-0,329;
05/05/2016;-0,341;
04/05/2016;-0,336;
03/05/2016;-0,331;
02/05/2016;-0,338;
29/04/2016;-0,333;-0,338
28/04/2016;-0,337;
27/04/2016;-0,34;
26/04/2016;-0,342;
25/04/2016;-0,341;
22/04/2016;-0,34;
21/04/2016;-0,342;
20/04/2016;-0,343;
19/04/2016;-0,34;
18/04/2016;-0,348;
15/04/2016;-0,341;
14/04/2016;-0,34;
13/04/2016;-0,337;
12/04/2016;-0,341;
11/04/2016;-0,333;
08/04/2016;-0,334;
07/04/2016;-0,33;
06/04/2016;-0,334;
05/04/2016;-0,332;
04/04/2016;-0,331;
01/04/2016;-0,335;
31/03/2016;-0,303;-0,288
30/03/2016;-0,347;
29/03/2016;-0,347;
24/03/2016;-0,349;
23/03/2016;-0,346;
22/03/2016;-0,344;
21/03/2016;-0,345;
18/03/2016;-0,345;
17/03/2016;-0,347;
16/03/2016;-0,339;
15/03/2016;-0,248;
14/03/2016;-0,243;
11/03/2016;-0,242;
10/03/2016;-0,242;
09/03/2016;-0,236;
08/03/2016;-0,234;
07/03/2016;-0,239;
04/03/2016;-0,236;
03/03/2016;-0,238;
02/03/2016;-0,234;
01/03/2016;-0,238;
29/02/2016;-0,227;-0,24
26/02/2016;-0,243;
25/02/2016;-0,249;
24/02/2016;-0,247;
23/02/2016;-0,246;
22/02/2016;-0,242;
19/02/2016;-0,243;
18/02/2016;-0,244;
17/02/2016;-0,244;
16/02/2016;-0,242;
15/02/2016;-0,243;
12/02/2016;-0,24;
11/02/2016;-0,239;
10/02/2016;-0,237;
09/02/2016;-0,237;
08/02/2016;-0,242;
05/02/2016;-0,236;
04/02/2016;-0,231;
03/02/2016;-0,247;
02/02/2016;-0,232;
01/02/2016;-0,237;
29/01/2016;-0,228;-0,239
28/01/2016;-0,239;
27/01/2016;-0,237;
26/01/2016;-0,236;
25/01/2016;-0,238;
22/01/2016;-0,241;
21/01/2016;-0,24;
20/01/2016;-0,238;
19/01/2016;-0,239;
18/01/2016;-0,24;
15/01/2016;-0,239;
14/01/2016;-0,24;
13/01/2016;-0,237;
12/01/2016;-0,233;
11/01/2016;-0,236;
08/01/2016;-0,235;
07/01/2016;-0,233;
